MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
24325871,ATTACHD,RES,NEW,0,8121 SE CRESCENT DR,Hillsboro,97123,152,3,2.1,2,1542,280,278,"0-2,999SF",9/5/2024,20,20,8/16/2024,"$432,900 ",10/9/2024,"$429,900 ",2024,250,2,,"CASH, CONV, FHA, VA"
24330932,ATTACHD,RES,NEW,1,3592 Ash ST,Forest Grove,97116,152,3,2.1,2,1563,275,275,"0-2,999SF",12/16/2024,34,34,11/12/2024,"$429,900 ",1/9/2025,"$429,900 ",2024,47,1,1,"CASH, CONV, FHA, USDA, VA"
24497130,ATTACHD,RES,NEW,0,8084 SE Crescent DR,Hillsboro,97123,152,3,2.1,2,1612,266,266,"0-2,999SF",2/2/2025,177,177,8/9/2024,"$429,900 ",2/24/2025,"$429,900 ",2024,250,2,,"CASH, CONV, FHA, VA"
270652389,ATTACHD,RES,NEW,1,3551 Chestnut ST,Forest Grove,97116,152,3,2.1,2,1563,275,275,"0-2,999SF",2/4/2025,5,5,1/30/2025,"$429,900 ",2/27/2025,"$429,900 ",2024,47,1,1,"CASH, CONV, FHA, USDA, VA"
322500699,ATTACHD,RES,NEW,1,3602 Ash ST,Forest Grove,97116,152,3,2.1,2,1563,275,275,"0-2,999SF",4/14/2025,10,10,4/4/2025,"$429,900 ",5/9/2025,"$429,900 ",2025,47,1,1,"CASH, CONV, FHA, USDA, VA"
408014388,ATTACHD,RES,NEW,1,3604 Ash ST Lot 20,Forest Grove,97116,152,3,2.1,2,1563,275,275,"0-2,999SF",4/3/2025,1,1,4/2/2025,"$429,900 ",5/1/2025,"$429,900 ",2024,47,1,1,"CASH, CONV, FHA, USDA, VA"
719642638,ATTACHD,RES,NEW,1,3606 Ash ST,Forest Grove,97116,152,3,2.1,2,1563,275,275,"0-2,999SF",4/1/2025,27,27,3/5/2025,"$429,900 ",4/30/2025,"$429,900 ",2024,47,1,1,"CASH, CONV, FHA, USDA, VA"
746851085,ATTACHD,RES,NEW,1,3553 Chestnut ST,Forest Grove,97116,152,3,2.1,2,1563,275,275,"0-2,999SF",2/27/2025,23,23,2/4/2025,"$429,900 ",3/20/2025,"$429,900 ",2024,47,1,1,"CASH, CONV, FHA, USDA, VA"
23655806,ATTACHD,RES,NEW,0,2844 S Nectarine ST LT543,Cornelius,97113,152,3,2.1,2,1520,298,282,"0-2,999SF",4/24/2023,0,,4/24/2023,"$453,381 ",12/1/2023,"$429,941 ",2023,126,1,,"CASH, CONV, FHA, USDA, VA"
136422467,ATTACHD,RES,NEW,1000,3159 S Linden St Lot 766,Cornelius,97113,152,3,2.1,2,1520,282,282,"0-2,999SF",6/6/2025,34,34,5/3/2025,"$429,960 ",6/26/2025,"$429,960 ",2025,131,1,1,"CASH, CONV, FHA, USDA, VA"
